PM10,SO2,NO2,CO,TEMP,PRES,DEWP,RAIN,WSPM,O3,PM2.5
76,29,30,700,22.8,1001.7,-0.7,0,3.2,113,105
83,29,29,700,22.9,1001.2,0,0,0.8,125,74
87,28,25,700,23.9,1000.3,1.5,0,1.9,141,57
99,31,29,900,23.6,1000.1,1.8,0,4.8,145,55
130,38,31,1200,23.3,1000.3,2.2,0,2.1,147,66
166,37,27,1100,22.6,1000.4,2.1,0,1.6,173,73
169,34,32,900,21.4,1001.2,3.6,0,2.7,170,100
181,27,38,800,20.4,1002.2,3.6,0,1.8,166,78
157,24,47,1000,19.4,1003.3,4.7,0,1.4,146,84
162,26,50,800,18.6,1003.6,4.7,0,2.3,144,99
139,25,57,1000,17.4,1003.8,4.3,0,1.9,118,114
143,25,61,1100,16.7,1003.8,4,0,1.8,85,133
143,50,50,1500,16,1003,4.4,0,0.9,86,158
129,46,49,1500,14.8,1002.5,4.5,0,0.9,86,105
119,45,68,1399,13.2,1002.2,4.6,0,0.5,80,97
109,37,123,1399,12.1,1001.8,4.6,0,0.4,31,85
136,35,70,1700,12.6,1001.7,4.8,0,0.6,55,98
137,31,56,1700,12.2,1001.4,4.7,0,1.5,56,107
119,29,46,1600,13.3,1001.4,5.2,0,1,56,91
132,50,61,1899,15.5,1001.8,3.9,0,1.8,50,103
134,91,58,2100,16.4,1001.6,3.8,0,1.3,80,95
136,78,64,1899,15.9,1002.2,4,0,3,84,105
118,68,43,1700,17.4,1001.4,4,0,2.1,117,105
143,74,49,1899,17,1000.3,4,0,1.3,113,126
136,67,50,1899,17.4,999.7,4.7,0,1.5,115,110
157,77,59,2200,17.7,999.2,5,0,2.3,105,143
157,75,57,2200,18.4,998.5,4.9,0,1.9,108,119
151,78,57,2200,18.6,998.6,5.1,0,1.2,114,106
149,70,54,2100,20,998.9,4.9,0,0.8,119,106
155,67,65,2100,20.9,1000,-2.3,0,2.1,108,105
135,14,24,600,19.5,1001.3,-4.1,0,1.4,95,59
55,3,10,300,18.8,1002.3,-5.3,0,2.5,95,10
45,3,17,300,18.3,1003.3,-5.8,0,3.6,86,11
58,3,16,300,19,1003.7,-6.6,0,4.6,85,57
50,3,9,200,18.9,1004.2,-8.3,0,2.9,92,12
46,3,8,200,18.6,1004.9,-9.5,0,3.6,95,10
46,3,6,200,16.9,1005.1,-10,0,1.3,101,8
27,3,8,200,16.6,1005.2,-9.4,0,2.3,102,10
23,3,47,300,16.6,1005,-10.2,0,1.6,57,6
21,4,44,300,16.1,1004.4,-9.8,0,3.2,58,9
18,3,31,300,15.5,1004.1,-8.8,0,1.8,75,10
20,3,35,NA,17.6,1004.6,-9.4,0,5,68.3298,12
31,3,26,NA,19.3,1004.9,-8.9,0,4.9,76.4694,10
46,3,22,NA,20.9,1004.9,-8.6,0,3.4,84.609,28
42,3,18,NA,22.1,1004.9,-7.6,0,3.6,92.7486,59
43,3,12,NA,23.2,1004.4,-7.8,0,4.4,101.1024,10
53,3,16,NA,24.6,1003.7,-6.7,0,3.7,97.8894,20
99,3,15,NA,25.7,1003.1,-8.2,0,4.9,101.3166,16
91,3,16,300,27.2,1002,-8.5,0,3.8,103,19
66,3,13,300,27.9,1000.9,-6.6,0,3.2,110,39
59,3,11,200,28.8,999.8,-7.3,0,4,110,21
61,3,12,200,28.5,999.4,-7.5,0,4.3,107,18
67,3,11,200,28.2,999.2,-7.7,0,4.1,105,29
61,3,8,200,27.4,999.5,-8.3,0,2.3,106,40
54,3,11,200,25.5,1000.3,-8.4,0,1.7,101,20
63,3,17,300,23.6,1001.4,-7.5,0,1,91,17
64,3,17,300,22.7,1002.2,-8.2,0,0.7,87,23
58,3,18,300,20.9,1002.7,-8.6,0,2,86,26
50,3,22,300,20.8,1003.2,-8.7,0,1.8,75,19
50,3,21,300,21.3,1004.1,-9.3,0,2,71,20
50,3,10,200,20.4,1005.1,-9,0,1.5,88,18
33,3,5,200,16.2,1005.5,-6.8,0,0.5,96,15
32,3,8,200,15.5,1005.5,-8.1,0,0.8,86,14
32,3,15,300,14.9,1005.6,-8.6,0,1.6,77,123
25,3,16,200,14.3,1005.8,-9.1,0,1.6,74,76
22,3,18,200,13.3,1006.2,-6.9,0,0.4,72,13
27,3,14,300,17.8,1006.7,-7.6,0,1.2,76,14
47,11,21,500,21.1,1006.7,-8.4,0,1.4,67,13
46,22,28,700,23.1,1006.4,-7.9,0,1.9,63,15
37,17,21,500,24.2,1005.9,-8.2,0,1.6,80,13
39,11,16,400,26.2,1005.5,-7.9,0,5,94,16
53,5,12,300,27,1004.8,-7.2,0,3.5,105,15
46,3,8,300,28.1,1004.2,-9.3,0,5.4,111,14
37,4,12,300,29,1003,-10.3,0,5.2,110,12
24,3,8,200,28.8,1002.7,-12.4,0,3.5,112,12
47,3,7,200,29.2,1002.1,-12.1,0,3.4,114,11
26,3,8,200,28.9,1001.8,-12.3,0,2.8,115,3
21,3,10,200,27.9,1001.7,-13.1,0,3.6,111,7
20,3,11,200,26,1002.4,-12.5,0,1.6,106,6
29,3,9,300,24.3,1004,-10.6,0,1.3,105,8
35,3,12,300,21.9,1005.1,-9.9,0,1.7,97,6
64,3,38,300,19.8,1005.7,-9.5,0,0.5,63,18
64,3,49,400,18.5,1006.5,-9.5,0,1.3,43,22
65,3,31,400,16.1,1008.3,-4,0,4.8,56,24
110,5,26,400,14.7,1009.6,-2.7,0,2.1,63,25
91,9,21,400,12.8,1009.4,-2.3,0,0.5,77,21
66,9,25,500,11.8,1009.5,-2.1,0,0,64,25
66,20,21,NA,10.2,1009.3,-2.8,0,1.1,NA,114
55,10,21,400,9.2,1009.3,-2.7,0,0.4,52,73
55,9,27,500,9.3,1009.4,-2.7,0,1.7,48,74
57,9,25,500,11.9,1009.4,-2,0,0,51,64
67,13,32,500,15.5,1009.4,-1.6,0,1.1,48,66
67,18,53,600,17.6,1008.9,-1.1,0,1.9,39,127
95,21,53,600,19.3,1008.3,-1.8,0,1.6,50,140
88,18,47,600,20.7,1007.2,-2.4,0,2.5,60,74
82,16,39,500,21.7,1006.1,-5.2,0,2.4,76,31
61,10,25,500,23.5,1004.7,-4.7,0,1.6,100,58
53,7,21,400,24.4,1003.8,-4.9,0,2.9,108,23
52,6,21,400,24.5,1002.8,-1.4,0,3.2,119,26
68,6,23,500,24.2,1002.4,-1.6,0,2.3,128,31
77,7,21,500,23.6,1002.2,-0.7,0,2.9,154,38
97,10,19,500,22.3,1002.2,0.1,0,3.9,168,37
101,11,19,500,20.7,1002.7,1,0,3.9,156,37
101,12,23,500,19.8,1003.3,1.7,0,1.5,142,94
109,13,28,500,18.4,1003.6,1.4,0,1.1,120,43
104,13,34,600,16.5,1003.9,0.2,0,0,101,52
89,15,46,700,15.5,1003.9,1.6,0,0.1,78,85
98,16,43,700,16.7,1004.2,0.3,0,1.2,73,52
100,16,44,600,16.9,1004.2,2.8,0,2,68,53
141,18,75,800,16.5,1004,3.2,0,1.6,38,64
149,19,73,800,16,1004.1,2,0,1.1,35,77
112,18,51,800,15.6,1004.2,0.9,0,2.1,45,58
90,20,44,800,14.8,1004.3,0.6,0,2.2,45,48
88,24,41,1100,14.7,1004.8,0.9,0,1.8,45,54
97,29,47,1300,14.9,1005.2,2.7,0,2.9,39,64
116,35,53,1500,15.5,1005.8,3.3,0,2.2,39,73
128,44,49,1700,17.2,1005.6,3.1,0,1.8,51,92
126,48,46,1600,18.5,1005.2,3.5,0,1.1,60,99
123,47,41,1399,19.7,1004.5,3,0,2.5,74,94
121,42,41,1300,21.3,1003.5,2,0,3.8,89,96
113,34,44,1200,22.7,1002.5,2.2,0,2.9,103,84
109,32,44,1000,23.2,1001.5,2.1,0,1.8,122,85
106,27,32,900,23.6,1000.4,1.8,0,3.8,156,82
101,27,27,800,23.7,999.8,3,0,3,183,75
120,31,29,1000,23.3,999.4,3.2,0,2.5,190,94
119,32,31,1100,22.6,999.4,4.1,0,4.7,184,92
119,45,40,1100,21.5,1000.2,4.1,0,3.4,162,273
145,60,45,1000,20.2,1001.2,3.8,0,3.8,136,156
164,60,48,900,19.2,1002,3.8,0,3.7,107,86
136,52,49,800,18.3,1003.3,3.7,0,3.3,88,81
131,49,49,700,17.7,1004.1,3.6,0,1.7,75,76
112,39,37,700,17.3,1005,3.6,0,2.5,81,72
86,31,24,600,16.9,1005.9,3.6,0,3,98,64
77,34,28,700,15.6,1006.9,4,0,2.4,87,64
125,61,40,1500,15,1007.9,5.8,0,3.1,67,117
106,42,31,1300,14.3,1008.1,5.6,0,2.4,77,96
106,29,19,1000,13.9,1008.5,6,0,1.5,98,69
50,20,29,800,14,1008.7,5.9,0,0.7,89,57
48,18,29,700,14.9,1009.1,5.9,0,1.5,90,67
54,22,45,800,16.1,1009.3,4.8,0,2,77,73
62,24,34,800,17.4,1009.4,4.3,0,2.1,90,60
62,21,34,600,19.1,1009.3,5.5,0,2.1,99,81
57,20,41,600,19.2,1009.1,5.3,0,2.5,97,45
64,21,24,700,20.6,1008.4,5.4,0,2,120,55
64,18,18,700,21.8,1007.8,4.8,0,2.2,137,98
59,15,14,600,22.3,1007.2,5.2,0,1.1,153,122
54,13,12,600,22.8,1006.5,4.3,0,2.2,166,105
58,12,16,700,23,1006.1,5,0,2.9,177,59
66,12,21,700,22.5,1006,4.5,0,3,176,60
86,12,26,700,21.4,1006.1,5.3,0,4.7,176,64
102,13,28,700,20.3,1006.6,5.9,0,1.1,180,69
97,15,27,700,19.4,1006.9,6.5,0,2.8,173,84
112,18,31,700,18.9,1007.3,6.4,0,1.3,155,98
102,18,31,700,18,1007.4,6.8,0,1.2,134,78
105,16,40,800,17.5,1007.5,7,0,1.5,106,82
109,13,50,900,16.8,1007.6,7.4,0,1,80,82
115,14,49,1000,15.2,1007.7,7.2,0,0.5,73,87
118,15,43,1000,14.1,1007.5,7.2,0,0.9,81,88
123,15,45,1100,13.7,1007.8,7.2,0,0.8,79,101
130,16,45,1100,13.7,1008,7.2,0,0.8,72,107
115,14,37,1000,13.6,1008.1,6.9,0,1,66,103
112,13,32,900,13.6,1009,6.9,0,0.8,66,105
114,12,31,900,14.5,1009.2,7.1,0,0.8,62,103
122,17,41,1000,15.5,1009.6,7.3,0,1.2,50,110
122,25,40,900,16.8,1009.6,7.7,0,1.6,61,116
127,27,40,900,18.5,1009.1,7.9,0,2.6,69,123
142,31,39,900,19.7,1008.7,8.4,0,1.4,85,117
162,30,46,1000,20.6,1007.8,9.2,0,1.7,98,140
174,29,53,1000,23.3,1007,8.2,0,3.9,104,168
160,31,35,900,23.8,1006.1,7.4,0,3.5,141,157
142,22,15,700,24.1,1005.6,7.3,0,2.7,184,129
134,23,16,700,24.3,1005.3,6.5,0,2.6,190,128
134,21,17,700,23.8,1005.4,6.6,0,3.3,195,133
117,20,19,700,23.1,1005.4,6.4,0,2.4,191,88
119,23,22,700,22.4,1005.7,6.2,0,0.6,182,94
107,23,26,700,21.6,1006.3,5.9,0,1.8,165,102
125,21,39,700,20.2,1007,6.2,0,0.7,132,114
127,20,49,800,18.4,1007.1,6.6,0,0.6,100,100
122,20,56,1000,18,1007.2,6.5,0,1.4,87,96
117,16,30,800,17.2,1007.5,7,0,0.6,108,83
113,16,23,700,16.1,1007.7,6.8,0,0,112,81
103,14,26,700,14.8,1007.7,7.1,0,0.5,100,80
98,15,33,700,14,1008,7.5,0,0.5,82,81
96,11,46,NA,13.5,1008.3,7,0,1,NA,81
105,10,46,800,13.2,1008.5,7,0,0.7,36,82
96,11,28,600,13.4,1009.1,6.9,0,0,76,80
96,11,28,600,14.7,1009.7,7.5,0,0.8,76,80
114,18,41,800,18.3,1009.7,7.7,0,0,61,90
114,18,41,800,20.2,1009.8,7.5,0,1.1,61,90
158,35,71,1000,21.5,1009.7,7.3,0,0.1,54,121
168,39,66,1000,23.1,1009.1,8.4,0,1.9,78,134
169,36,38,900,24.3,1008.3,8.3,0,1.5,131,291
157,38,26,900,25.8,1007.5,9.2,0,2.8,181,258
170,38,27,900,26.3,1006.8,9.2,0,1.6,207,283
188,42,30,1000,27.1,1005.7,9.4,0,1.4,233,253
206,42,30,1000,27.3,1004.9,10.1,0,2.1,233,253
230,59,51,1399,27.3,1004.5,10.9,0,3.1,256,217
264,69,49,1399,26.2,1004.5,12.3,0,2.7,285,230
253,66,35,1300,25.1,1004.8,13,0,2.1,258,211
242,66,34,1399,24.2,1005.4,13.7,0,1.9,227,213
277,64,43,1700,23.2,1006.2,13.9,0,1.9,202,239
302,87,41,2200,21,1006.4,13.4,0,0,176,261
299,72,52,2299,20.5,1006.4,13.7,0,1.3,132,279
274,57,43,2000,20.4,1006.6,13.6,0,0.7,124,273
265,47,25,1800,18.6,1006.5,13.5,0,0.9,139,251
272,41,27,1899,18.2,1006.2,13.5,0,0.9,127,266
254,31,25,1899,17.7,1006.3,13.4,0,0.6,115,252
254,27,23,1899,17.2,1006.2,13.3,0,0.5,114,273
242,24,25,1899,16.4,1006.2,13.1,0,0.4,108,268
244,22,26,1800,16.7,1006.7,13.2,0,0,101,268
241,20,27,1800,17.8,1007.1,13.5,0,0.7,96,266
251,26,36,1800,20.2,1007,13.9,0,0.7,88,248
283,39,64,2000,22.6,1006.8,14.4,0,0.8,71,271
319,52,122,2100,24.5,1006.7,14.9,0,1.9,37,297
330,64,67,1899,25.9,1006.2,15.3,0,1.7,119,310
313,60,56,1800,27,1005.5,14.7,0,2.2,141,304
297,58,32,1700,28.1,1004.8,14.7,0,3.5,207,294
279,54,25,1600,29.2,1004,14.2,0,1.7,252,274
286,47,31,NA,30.6,1003.1,10,0,2.9,297.3096,285
279,39,37,1600,30.8,1002.7,5.2,0,4.9,252,243
97,25,22,900,30.4,1002.8,4.2,0,2.1,262,164
108,21,23,700,29.4,1002.8,4.8,0,4.1,231,87
119,22,30,800,28.2,1003.6,3.8,0,3.7,218,101
131,24,36,800,26.3,1004.3,4.7,0,0.8,218,101
138,26,49,800,23.9,1004.9,6.6,0,0.5,173,107
138,26,49,800,21.5,1005.2,8,0,0.7,173,107
173,32,66,1100,20.6,1005.6,7.9,0,0.6,135,118
191,33,78,1399,19.6,1005.9,8.6,0,0.1,113,138
138,30,46,1100,19.6,1006,8.3,0,0,130,122
126,25,26,900,18.8,1005.9,9,0,0,145,103
127,25,28,900,18.1,1006,8.9,0,0.5,136,104
131,27,25,1000,17.4,1006,9.3,0,0.9,139,106
141,25,70,1100,17.1,1006.2,10,0,0.9,90,110
140,27,38,1100,16.8,1006.8,10.2,0,0.2,8,117
158,22,38,1100,18.5,1007.3,11.6,0,0.1,103,119
167,22,91,1399,20.8,1007.8,11.7,0,0.7,47,124
201,26,120,1399,22.1,1008.1,11.5,0,0.8,8,140
235,41,138,1600,22.9,1008.2,11.6,0,0.8,9,161
225,40,86,1399,23.9,1008.1,12.2,0,0.7,83,172
225,40,86,1399,25,1007.6,13.2,0,1.4,83,172
231,39,64,1300,26.2,1006.6,12.3,0,1.5,121,166
202,40,46,1300,28,1005.6,12.8,0,2.1,198,188
202,40,46,1300,29.3,1004.5,9.4,0,3.4,198,188
202,62,66,1399,29.2,1004.1,8.8,0,4.8,222,198
150,67,16,900,29.1,1004,7.6,0,4.8,241,152
157,68,16,800,28.2,1003.8,6.3,0,2.4,230,152
140,49,21,800,27.3,1004,7.7,0,1.9,230,123
131,42,34,800,26.5,1004.5,8.9,0,0.9,196,103
177,43,54,1000,25.8,1004.7,12.3,0,2,196,121
176,42,53,1000,24.5,1004.9,11.4,0,1.9,163,121
259,57,59,2000,23.9,1005.1,10.2,0,1.4,174,210
258,56,58,2000,23.2,1005.4,10.3,0,2.5,174,210
226,55,44,1399,22.6,1005.5,10.1,0,2.1,156,203
226,75,45,1500,21.4,1005.4,10.2,0,0.7,147,192
249,89,46,1600,20.5,1005.2,9.4,0,1.2,140,230
174,85,38,1600,20,1005.3,9.3,0,1.5,147,254
147,56,35,1300,18.1,1005.4,10.2,0,1.3,109,167
142,55,34,1300,16.9,1005.9,10.5,0,0,109,167
206,39,114,1600,18.7,1006.2,10.5,0,0.7,22,187
205,38,82,1600,20.7,1006.4,8.7,0,2.2,22,186
210,42,81,1600,21.1,1006.3,8.7,0,1,45,202
132,63,52,1600,22,1006.3,8.8,0,1.5,79,168
175,107,70,NA,23.6,1005.9,9.6,0,1.2,76.041,160
175,102,63,2200,23.4,1005.3,9.8,0,1.9,94,227
173,78,60,1800,23,1005.2,9,0,1.7,115,229
163,81,56,1800,23.2,1004.7,10.6,0,1.9,121,149
144,76,48,1700,22.5,1004.5,11.6,0,1.7,143,128
143,76,47,1700,22.4,1003.9,12.9,0,2.4,143,127
184,64,78,2200,22.4,1003.6,12.9,0,4,111,166
180,50,56,1899,21.9,1003.3,13,0,1.5,130,177
180,40,46,1600,20.9,1003.6,13.3,0,1,129,163
126,34,50,1399,21.2,1003.9,12.3,0,2.6,111,148
109,30,45,1200,21,1004.3,11.1,0,2.1,100,142
30,30,45,1200,20.5,1004.3,11.9,0,3.6,100,142
67,24,28,800,19.1,1004.3,9.8,0,2.4,107,83
67,21,41,800,18.8,1003.8,9.8,0,1,84,54
22,13,23,600,18.4,1003.1,10,0,1.1,82,22
27,13,25,600,18.4,1002.5,10,0,0.7,71,23
32,13,22,600,18.3,1002.3,10.1,0,1.1,65,25
34,13,27,NA,18,1002,10.4,0,2.3,NA,24
49,12,27,600,17.7,1001.8,10.8,0,2.3,34,48
61,12,43,600,17.8,1002,10.4,0,1.6,29,56
59,12,48,600,18,1002,10.6,0,1.6,26,46
59,12,48,600,18.1,1002.5,10.5,0,1.3,26,46
64,14,56,700,17.7,1002.6,11.9,0,2.2,21,50
79,15,65,700,17.4,1002.4,10.7,0,2.5,14,73
112,14,69,800,17.2,1002.1,10.1,0,2.1,9,84
17,14,45,600,17.7,1001.7,10.3,0,1.6,40,67
34,12,32,400,19.3,1000.5,11.1,0,1.6,70,30
33,11,38,400,19.2,999.5,11,0,1.8,64,32
42,16,36,400,19,999.6,11.3,0,0.6,70,35
51,15,30,400,18.8,998.6,11.6,0,2,67,48
51,15,30,400,18.8,998.5,11.6,0,0.7,67,48
62,8,34,100,19.1,998.3,11.4,0,0.7,93,52
61,10,35,NA,18.4,999,11.2,0,0.7,93,48
65,7,39,100,17,999.3,11.9,0,1.6,86,53
69,6,54,100,15.8,999.4,11.8,0,1.4,64,59
88,6,78,300,15.4,999.5,11.4,0,1.1,64,80
72,4,49,200,15,999,11.2,0,0.2,39,68
72,4,35,100,13,998.4,10.4,0,0.9,38,85
54,3,37,100,11.8,997.8,9.4,0,0.8,30,86
47,3,34,100,11.4,996.7,7.9,0,0.9,23,84
14,3,21,NA,10.6,995.6,6.5,0,0.8,33,67
36,3,21,NA,9.4,995.1,5.9,0,1.3,34,60
55,3,40,NA,9.6,994.5,5.2,0,1.8,15,40
55,5,61,100,11.8,994.5,5.9,0,1,3,62
91,4,51,200,19.9,994.4,-5.2,0,3.9,4,64
100,11,43,300,22.1,994.4,-4.9,0,3.3,9,85
100,18,33,NA,23.2,994.4,-4,0,3.8,54,28
47,10,22,NA,25.1,994.2,-3.4,0,3.2,74,8
49,11,22,NA,26.7,993.3,-2.1,0,4.5,79,19
64,6,15,NA,27.4,992.6,-1.5,0,2.2,92,18
64,6,15,NA,28.9,991.9,-3.4,0,6.4,92,18
82,3,7,NA,29.9,991.1,-2.6,0,6,105,7
51,3,11,NA,30.5,990.1,-4.6,0,3.3,107,12
21,3,11,NA,31.2,989.5,-4.1,0,6.4,110,3
33,3,14,NA,31.2,989.1,-5.4,0,2.3,111,9
39,3,15,NA,30.6,988.7,-5.9,0,2.7,107,14
30,3,23,NA,28.1,989,-5.2,0,0.8,96,5
43,3,31,NA,23.3,989.9,-4,0,0.6,86,15
82,7,90,200,22,990.4,-2,0,0.7,24,30
131,9,75,300,19.5,990.8,-1.6,0,0.9,22,50
88,10,66,200,17.8,991,-1.5,0,0,34,68
72,6,67,200,17.4,990.6,-3.4,0,0.6,23,40
37,3,47,NA,15.9,989.7,-2.1,0,0.1,32,19
40,3,42,NA,14.8,989,-1.3,0,1.1,38,34
54,3,48,NA,15,988.4,-1.6,0,1,28,44
39,3,35,NA,13.5,987.7,-0.6,0,1,37,26
42,7,53,NA,12.7,987.6,-0.6,0,0,17,19
50,7,49,NA,13.5,987.2,0.1,0,1.6,16,22
90,9,68,200,18.4,987.1,0.5,0,1.3,8,29
93,9,56,200,20.8,986.5,-0.5,0,1.6,11,30
54,13,43,NA,23.7,986.1,1.9,0,1.8,33,29
82,14,61,NA,28.9,985.9,-3.4,0,4,33,46
82,14,61,NA,30.6,985.4,-3.2,0,3.3,48.4092,46
53,15,22,NA,31.6,984.8,-5.1,0,4.7,77,20
65,10,22,NA,32.4,984.6,-6.1,0,4.8,87,13
92,3,15,NA,32.7,984.4,-7.6,0,5,101,22
128,3,12,NA,33.2,984.1,-7.3,0,7,109,18
121,3,15,NA,33.3,984.4,-7.2,0,6,107,19
89,3,9,NA,32.5,984.5,-6,0,5.9,112,5
57,3,10,NA,32,984.8,-6.4,0,3.3,109,9
97,3,10,NA,30.1,985.8,-6.3,0,1.5,108,14
42,3,17,NA,27.6,987.2,-6.8,0,1.6,96,18
29,3,13,NA,27.3,987.9,-9.9,0,3.1,93,16
16,3,11,NA,23.7,988.9,-7.4,0,1.1,92,14
46,3,19,NA,21.4,989.1,-7.2,0,1.1,73,14
26,3,24,NA,19.8,989.3,-7.6,0,2.1,62,12
22,3,21,NA,19.1,988.8,-9.1,0,1.3,65,13
37,3,58,NA,18.8,989.9,-6.1,0,1,24,13
72,3,59,NA,16.1,990.2,-4.5,0,0.6,22,20
54,4,73,NA,15.8,990.6,-6.5,0,0,4,18
32,3,58,NA,15.8,990.5,-6.5,0,0.9,16,13
20,3,23,NA,15.4,991,-4.6,0,0.5,51,16
62,4,46,NA,18.6,991.3,-4.8,0,0.8,27,13
45,3,29,NA,19.4,992,0.4,0,1,45,3
77,3,33,NA,22.2,992,0.1,0,0.6,37,16
96,5,62,NA,25.3,991.9,-6.2,0,0.9,18,60
76,5,70,NA,26.6,992,-4.1,0,1.6,24,58
48,3,37,NA,27.5,991.4,-4.5,0,2.3,67,28
48,3,13,NA,28.1,990.9,-7.8,0,2.1,106,65
18,3,9,NA,28.7,990.8,-6,0,2.2,123,3
31,6,9,NA,29.2,990.1,-5.6,0,1.3,136,10
44,7,16,NA,29.6,990.1,-4,0,1.9,143,26
61,5,26,NA,28.5,989.9,-3.7,0,1.7,157,35
81,8,26,NA,27.9,989.9,-3.1,0,3.9,190,27
87,14,25,NA,27,990.6,-3.8,0,2.4,187,44
87,18,29,NA,26.1,991.5,-3.5,0,1.9,152,49
84,18,40,100,24.5,992.4,-1.4,0,1.5,120,72
120,29,56,400,23.3,993.3,0.4,0,1,86,381
136,19,56,300,21.5,993.6,-1.8,0,1.6,63,165
83,13,49,100,21,994.2,-1.6,0,2.2,58,162
89,11,47,NA,20.6,994.3,-1.3,0,2.2,51,97
57,12,29,NA,18.5,994.4,-0.4,0,0.5,72,88
68,12,28,NA,16.5,994.4,0.2,0,0.4,66,62
57,12,35,NA,16.5,994.4,0.6,0,0.2,NA,36
55,14,35,600,15.2,994.1,1.3,0,0.5,42,55
56,20,29,700,15.2,995.4,2,0,1.6,44,50
76,23,33,800,17.7,995.4,2.4,0,0.9,42,46
99,26,59,900,19.8,995.9,3.5,0,1.3,18,68
114,36,67,1200,22.3,995.4,2.9,0,1.6,18,75
113,44,85,1200,24.1,994.9,0.4,0,1.7,22,100
114,50,47,1200,25.4,994.8,0.8,0,2.8,89,143
94,52,35,1200,25.5,993.6,1.6,0,2.1,120,154
101,52,35,1200,27,992.6,1.4,0,1.8,128,128
92,52,35,1200,28,991.4,1.5,0,1.6,128,132
107,40,21,1000,28.6,991.1,1.1,0,2.6,170,127
103,35,24,900,28.3,990.8,1.7,0,2.6,177,124
120,38,43,1000,27.6,990.3,2.6,0,2.4,163,117
120,37,43,1000,26.5,990.4,4.3,0,3.5,163,116
200,58,72,1500,25.1,991.2,4.8,0,2.2,150,97
192,64,72,1700,24,992.2,4.9,0,1.2,150,106
182,61,60,1600,21.8,993.4,6.1,0,1,142,99
168,60,54,1600,21.1,993.8,5,0,0.8,128,106
168,60,54,1600,19.7,994.2,6.1,0,0.6,128,106
167,44,61,1800,23.8,995.5,-2.7,0,1.6,81,100
119,22,38,1000,22.7,996,-3.6,0,3.9,75,112
158,3,13,200,21.3,996.6,-3.3,0,3,79,66
158,3,13,200,18.1,996.9,-1.7,0,1,79,66
83,3,31,200,20.1,997.2,-2.9,0,3.4,62,69
76,4,14,200,20,997.8,-3,0,3.4,81,33
71,15,21,300,20,998.2,-2.4,0,1.9,69,20
70,17,29,300,21.5,999.3,-1.8,0,4.1,62,20
70,17,29,300,22.9,999.6,0,0,4.9,62,20
70,17,29,300,24.2,1000,1.1,0,3.7,62,20
57,4,12,300,25.2,1000.5,1.3,0,3.8,84,12
57,4,12,300,26.6,1000.3,1.8,0,4.7,84,12
76,9,18,300,28.4,999.7,1,0,3.4,87,18
58,6,15,300,29.6,999.1,-0.7,0,2.8,101,51
58,3,10,300,30.8,998.3,-0.8,0,2,117,97
54,3,9,200,31.7,998,-1.2,0,2,118,347
37,3,9,200,31,998,1.3,0,1.7,118,358
85,3,11,200,30.4,997.9,0.8,0,2.1,134,196
49,3,13,200,30,998,0.5,0,2.6,144,168
52,3,17,300,28.6,999.2,1.1,0,2.5,142,168
81,3,28,300,26.9,1000.6,2,0,0.2,126,176
90,3,29,NA,23.7,1001.5,3,0,0.8,103.6728,176
90,4,50,500,22.9,1002.2,2.9,0,0.5,89,160
74,3,27,300,20.8,1002.9,3,0,0,92,81
74,3,32,300,20.6,1003.9,3.8,0,1.3,82,47
71,3,30,300,19.3,1004.6,3,0,1.8,84,34
39,3,25,300,18.7,1005.2,2.1,0,1.6,84,30
109,8,98,500,17.7,1005.6,1.2,0,0.7,12,45
40,6,67,400,17.8,1006.4,0.4,0,1.2,28,30
40,3,23,200,16.2,1007.3,2.6,0,0,59,23
40,3,21,200,17.1,1007.9,1.1,0,1.3,64,16
63,4,41,300,19.3,1008.9,5.4,0,1,38,14
97,24,48,700,20.3,1009.8,5.5,0,1.1,30,32
150,58,81,1399,22.3,1009.9,4.8,0,0.4,13,65
171,120,80,2200,23.3,1009.6,4.7,0,0.8,46,101
156,112,70,2100,24.5,1008.8,4.8,0,1.7,70,71
160,98,73,1899,25.9,1007.9,2.5,0,1.3,83,83
104,60,39,1300,26.7,1007,3.8,0,1.2,115,52
100,52,29,1200,27.5,1006.3,1.8,0,1.9,131,53
70,46,22,1100,27.7,1005.8,2,0,3.2,157,NA
71,39,19,1100,27.9,1005.2,4.2,0,1.6,188,NA
129,37,23,1100,27.4,1005.1,5,0,3.6,204,47
176,36,29,1100,26.4,1005.1,5.3,0,3.5,237,71
150,23,28,700,25.2,1005.7,6.9,0,2.3,210,60
183,21,33,700,24.2,1006.2,6.9,0,2.4,190,54
172,24,40,800,23.8,1006.8,7,0,2.1,175,55
177,24,51,900,22.8,1007.8,6.5,0,0.9,143,60
127,18,38,600,21.8,1008.5,7.2,0,2.5,123,48
150,20,43,900,20.4,1008.8,8.1,0,2.7,87,47
144,17,49,800,18.9,1009.1,9.1,0,2.9,64,50
168,19,57,900,18.4,1009.5,8.6,0,2,34,44
111,20,46,900,17.3,1009.5,8.7,0,1,36,42
83,19,40,800,15.6,1009.8,8.8,0,0.4,39,42
101,14,38,800,14.4,1009.8,8.8,0,0.4,38,40
106,14,76,900,14.6,1010.2,9,0,1.7,6,47
104,11,48,800,16.2,1010.5,9.4,0,0.9,21,45
119,17,44,900,19.5,1010.5,9.4,0,0.2,26,49
136,24,46,900,21.1,1010.3,9.7,0,0.8,34,51
